Vivado Simulator 2019.1
Time resolution is 1 ps
WARNING: File reg_init.mem referenced on C:/Users/yashw/RISC-V_PROJECT.srcs/sources_1/new/reg_file.sv at line 27 cannot be opened for reading. Please ensure that this file is available in the current working directory.
==== RISC-V Top Module Testbench Started ====
Time: 600000 | PC=0x000000a8 | Inst=0x0080056f | rs1=x0=0x00000000 | rs2=x8=0x00000005 | rd=x10 | alu_op=0000 | alu_result=0x000000ad | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 610000 | PC=0x000000b0 | Inst=0x04000613 | rs1=x0=0x00000000 | rs2=x0=0x00000000 | rd=x12 | alu_op=0000 | alu_result=0x00000040 | MemRW=0 | RegWrite=1 | MemOut=0x00000029
Time: 620000 | PC=0x000000b4 | Inst=0x000606e7 | rs1=x12=0x00000040 | rs2=x0=0x00000000 | rd=x13 | alu_op=0000 | alu_result=0x00000040 | MemRW=0 | RegWrite=1 | MemOut=0x00000029
Time: 630000 | PC=0x00000040 | Inst=0x0010c913 | rs1=x1=0x00000005 | rs2=x1=0x00000005 | rd=x18 | alu_op=0101 | alu_result=0x00000004 | MemRW=0 | RegWrite=1 | MemOut=0x000000a3
Time: 640000 | PC=0x00000044 | Inst=0x0020e993 | rs1=x1=0x00000005 | rs2=x2=0x0000000a | rd=x19 | alu_op=1000 | alu_result=0x00000007 | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 650000 | PC=0x00000048 | Inst=0x0070fa13 | rs1=x1=0x00000005 | rs2=x7=0x0000000a | rd=x20 | alu_op=1001 | alu_result=0x00000005 | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 660000 | PC=0x0000004c | Inst=0x00109a93 | rs1=x1=0x00000005 | rs2=x1=0x00000005 | rd=x21 | alu_op=1111 | alu_result=0x00000000 | MemRW=0 | RegWrite=1 | MemOut=0x00000001
Time: 670000 | PC=0x00000050 | Inst=0x00125b13 | rs1=x4=0x000000ff | rs2=x1=0x00000005 | rd=x22 | alu_op=0110 | alu_result=0x0000007f | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 680000 | PC=0x00000054 | Inst=0x06400f93 | rs1=x0=0x00000000 | rs2=x4=0x000000ff | rd=x31 | alu_op=0000 | alu_result=0x00000064 | MemRW=0 | RegWrite=1 | MemOut=0x0000000f
Time: 690000 | PC=0x00000058 | Inst=0x006fa023 | rs1=x31=0x00000064 | rs2=x6=0x0000000f | rd=x0 | alu_op=0000 | alu_result=0x00000064 | MemRW=1 | RegWrite=0 | MemOut=0x0000000f
